personnage_1;personnage_2;force_1;force_2;scenarios;task_1;task_2;repetition_question;id_participant;age;sexe;taille;enfant
3;4;10;1;7;8;2;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
5;9;8;13;5;3;7;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;9;11;13;2;4;6;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;8;11;13;9;5;5;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;4;10;1;1;8;2;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;9;10;13;6;8;2;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;9;11;13;3;5;5;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;4;11;1;8;8;2;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;4;10;1;7;7;3;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
5;9;8;13;5;3;7;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;9;11;13;3;5;5;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;9;11;13;4;5;5;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;4;10;1;1;8;2;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;4;11;1;8;8;2;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;8;11;13;9;5;5;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;9;10;13;6;8;2;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;9;11;13;2;4;6;3;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;4;7;1;9;6;4;1;85d9e832c808ccb651266c1e1f6fa391;19;Homme;180;Non
2;3;5;10;1;2;8;1;85d9e832c808ccb651266c1e1f6fa391;19;Homme;180;Non
3;8;10;11;8;0;10;1;85d9e832c808ccb651266c1e1f6fa391;19;Homme;180;Non
4;9;1;8;6;2;8;1;85d9e832c808ccb651266c1e1f6fa391;19;Homme;180;Non
4;9;1;8;2;2;8;1;85d9e832c808ccb651266c1e1f6fa391;19;Homme;180;Non
1;4;7;1;7;10;0;1;85d9e832c808ccb651266c1e1f6fa391;19;Homme;180;Non
